Reference Year,Local Government,Waste Resource Recovery Group WRRG,Garbage Annual Tonnes Collected,Recycling Annual Tonnes Collected,Recycling Annual Tonnes  Processed sorted,Organics Annual Tonnes Collected,Organics Annual Tonnes Processed,Total Annual Tonnes of Waste Collected,Total Annual Tonnes of Waste Processed Sorted
2006-2007,Pyrenees Shire Council,Grampians Central West ,890.0,296.25,293.75,0.0,0.0,1186.25,293.75
2006-2007,Queenscliffe Borough Council,Barwon South West ,1050.0,430.0,422.0,25.0,25.0,1505.0,447.0
2006-2007,South Gippsland Shire Council,Gippsland ,3454.0,1695.0,1559.4,0.0,0.0,5149.0,1559.4
2006-2007,Southern Grampians Shire Council,Barwon South West ,1920.0,997.0,957.1,0.0,0.0,2917.0,957.1
2006-2007,Stonnington City Council,Metropolitan ,21597.0,12528.0,12091.0,2070.0,2070.0,36195.0,14161.0
2006-2007,Strathbogie Shire Council,Goulburn Valley ,2116.0,908.0,795.0,0.0,0.0,3024.0,795.0
2006-2007,Surf Coast Shire Council,Barwon South West ,4760.7998,3551.8799,3233.28,1179.6,1179.6,9492.2797,4412.88
2006-2007,Swan Hill Rural City Council,Loddon Mallee ,3731.0,3608.0,3108.0,0.0,0.0,7339.0,3108.0
2006-2007,Towong Shire Council,North East ,1400.0,524.0,396.7,75.0,75.0,1999.0,471.7
2006-2007,Wangaratta Rural City Council,North East ,5100.0,4601.0,4169.3398,0.0,0.0,9701.0,4169.3398
2006-2007,Warrnambool City Council,Barwon South West ,5454.3198,4573.3999,4074.8999,0.0,0.0,10027.719700000001,4074.8999
2006-2007,Wellington Shire Council,Gippsland ,5877.0,3143.75,2571.1399,0.0,0.0,9020.75,2571.1399
2006-2007,West Wimmera Shire Council,Grampians Central West ,950.0,243.65,239.0,0.0,0.0,1193.65,239.0
2006-2007,Whitehorse City Council,Metropolitan ,28890.0,18860.0,18350.8008,2900.0,2900.0,50650.0,21250.8008
2006-2007,Whittlesea City Council,Metropolitan ,29776.0,12909.8398,11025.9805,1856.22,1856.22,44542.0598,12882.200499999999
2006-2007,Wodonga City Council,North East ,7239.0,2199.0,2199.0,1518.0,1518.0,10956.0,3717.0
2006-2007,Wyndham City Council,Metropolitan ,23041.0,12260.9004,11802.4004,2193.0,2193.0,37494.9004,13995.4004
2006-2007,Yarra City Council,Metropolitan ,12152.0,9000.0,8230.0,194.0,194.0,21346.0,8424.0
2006-2007,Yarra Ranges Shire Council,Metropolitan ,25573.0,16744.0,12329.0,1234.0,1234.0,43551.0,13563.0
2006-2007,Yarriambiack Shire Council,Grampians Central West ,1980.0,408.84,400.0,0.0,0.0,2388.84,400.0
2007-2008,Alpine Shire Council,North East ,2140.0,1594.0,1189.0,0.0,0.0,3734.0,1189.0
